type,county,official_business_name,name,address,city,state,zip,lat,lng
"Distiller ""A-1""",Kings,Kings County Distillery Llc,Kings County Distillery ,63 Flushing Ave,Brooklyn,NY,11205,40.69823,-73.97516
"Distiller ""A-1""",Kings,Disruption Grain Llc,Interboro Spirits & Ales,942 Grand St,Brooklyn,NY,11211,40.712720000000004,-73.93697
"Distiller ""A-1""",Orange,Black Dirt Distilling Llc,Black Dirt Distilling Co,385 Glenwood Rd,Pine Island,NY,10969,41.27941,-74.48116
"Distiller ""A-1""",Ulster,Prince Distillery Llc,Prince Distillery ,1519 Rte 9W,Marlboro,NY,12542,41.62322,-73.96452
"Distiller ""A-1""",Kings,Heights Distilling Company Inc,Heights Distilling Company ,63 Flushing Ave Suite 223,Brooklyn,NY,11205,40.69823,-73.97516
"Distiller ""A-1""",Sullivan,Pomanskys Distillery Llc,Pomanskys Distillery ,23 Diane Blvd,Woodridge,NY,12789,41.709920000000004,-74.56424
"Distiller ""A-1""",Kings,Moto Spirits Llc,Vrw Distillers,5 Central Ave,Brooklyn,NY,11206,40.70263,-73.93290999999999
"Distiller ""A-1""",New York,Our/New York Vodka Llc,Our/New York,151 W 26Th St,New York,NY,10001,40.74573,-73.99335
"Distiller ""A-1""",Kings,Sadden Brothers & Co Distilling Corp,Sadden Brothers & Co Distilling Corp,69 Powell St,Brooklyn,NY,11212,40.6729,-73.90464
"Distiller ""A-1""",Kings,Doc'S Spirits Llc,Doc Herson'S Natural Spirits,630 Flushing Ave,Brooklyn,NY,11206,40.69989,-73.94819
"Distiller ""A-1""",Suffolk,Matchbook Distilling Company Llc,Matchbook Distilling Co,230 Corwin St,Greenport,NY,11944,41.098279999999995,-72.37007
"Distiller ""A-1""",Dutchess,"Vale Fox Distillery Llc, The","Vale Fox Distillery , The",619 Noxon Rd,Poughkeepsie,NY,12603,41.650420000000004,-73.82786999999999
"Distiller ""A-1""",Westchester,Stilltheone Distillery Two Llc,Stilltheone Distillery Two; Sto2,1 Martin Pl,Port Chester,NY,10573,40.99765,-73.65984
"Distiller ""A-1""",New York,Great Jones Distillers Llc,The Great Jones Distillery,686 Broadway,New York,NY,10012,40.728,-73.99441
"Distiller ""A-1""",Delaware,Catskill Provisions Inc,Catskill Provisions ,244 Delaware Lake Rd,Long Eddy,NY,12760,41.88365,-75.13606
"Distiller ""A-1""",Onondaga,Hall Island Distillery Llc,Hall Island Distillery ,6665B Island Rd,Cicero,NY,13039,43.15723,-76.05634
"Distiller ""A-1""",Columbia,State 11 Distillery Llc,Olde York Farm,284 State Rte 23,Claverack,NY,12513,42.22065,-73.71205
"Distiller ""A-1""",Dutchess,Millbrook Distillery Llc,Millbrook Distillery,78 Sinpatch Rd,Wassaic,NY,12592,41.780609999999996,-73.56099
"Distiller ""A-1""",Delaware,Cheryl Amber Lins,Delaware Phoenix Distillery,44 West St,Walton,NY,13856,0.0,0.0
"Distiller ""A-1""",Kings,Proof Of Concept Llc,Proof Of Concept ,86 34Th St,Brooklyn,NY,11232,40.7588,-73.92481
"Distiller ""A-1""",Montgomery,Jonathan M Rosemyer,Erie Canal Distillers,55 Willett St,Fort Plain,NY,13339,42.934740000000005,-74.62387
"Distiller ""A-1""",Madison,Madison County Distillery Llc,Madison County Distillery,2412 Rte 20,Cazenovia,NY,13035,42.92302,-75.83548
"Distiller ""A-1""",Ulster,Stoutridge Vineyard Llc,Stoutridge Vineyard ,10 Ann Kaley Ln,Marlboro,NY,12542,41.61432,-73.98254
"Distiller ""A-1""",Washington,Springbrook Hollow Farm Distillery Llc,Springbrook Hollow Farm Distillery ,133 Clements Rd,Queensbury,NY,12804,43.40524,-73.6185
"Distiller ""A-1""",Orange,Ferreira Carpenter Estates Llc,Ferreira Carpenter Winery,62 W Ridge Rd,Warwick,NY,10990,41.28097,-74.36792
"Distiller ""A-1""",Saratoga,Yankee Distillers Llc,Yankee Distillers ,5 Fairchild Sqaure,Clifton Park,NY,12065,0.0,0.0
"Distiller ""A-1""",Ulster,Tuthilltown Spirits Llc,Tuthilltown Spirits ,14 Gristmill Lane   Po Box 320,Gardiner,NY,12525,41.68762751,-74.17506834
"Distiller ""A-1""",Essex,Lake Placid Spirits Llc,Lake Placid Spirits,5740 Cascade Road,Lake Placid,NY,12946,44.26737964,-73.97190572
"Distiller ""B""",Ontario,Constellation Brands Inc,Constellation Brands ,116 Buffalo St,Canandaigua,NY,14424,42.89829,-77.29629
"Distiller ""B""",Ulster,Prince Distillery Llc,Prince Distillery ,1519 Rte 9W,Marlboro,NY,12542,41.62322,-73.96452
"Distiller ""B""",Genesee,O At Ka Milk Products,Cooperative ,4815 Ellicott Street Rd,Batavia,NY,14020,42.98147297,-78.16320504
"Distiller ""B""",Wayne,Motts Llp,Motts Llp,4363 Route 104,Williamson,NY,14589,43.23495951,-77.17369428
"Distiller ""B""",Monroe,Fishbowl Spirits Llc,Fishbowl Spirits ,1050 Lee Rd,Rochester,NY,14606,43.187709999999996,-77.6798
"Distiller ""B""",Oneida,Matt Brewing Co Inc,F X Matt Brewing Co,811 Edward St,Utica,NY,13502,43.104279999999996,-75.24561
"Distiller ""B-1""",Saratoga,Saratoga Courage Llc,Saratoga Courage ,324 Wilton Rd,Greenfield Center,NY,12833,43.142379999999996,-73.80372
"Distiller ""B-1""",Genesee,Creamy Creation Llc,Creamy Creation,24 Masse Pl,Batavia,NY,14020,42.99599706,-78.17431106
"Distiller ""B-1""",Kings,L'Orgeat Inc,High Hat Spirits,71 Van Brunt St,Brooklyn,NY,11231,40.686009999999996,-74.00451
"Distiller ""B-1""",Otsego,Cooperstown Distillery Llc,Cooperstown Distillery,11 Railroad Ave,Cooperstown,NY,13326,42.699853399999995,-74.93205212
"Distiller ""B-1""",Nassau,Old Spirit Distillery Inc,Old Spirit Distillery ,3670 6 W Oceanside Rd,Oceanside,NY,11572,0.0,0.0
"Distiller ""B-1""",Monroe,Lidestri Beverages Llc,Lidestri Spirits,1050 Lee Rd,Rochester,NY,14606,43.18740375,-77.68034844
"Distiller ""B-1""",Orange,Shloimes Slivovitz Inc,Castle Spirits,18 Quickway Road,Monroe,NY,10950,41.33588604,-74.1707898
"Distiller ""B-1""",Washington,Tonic & Tinctures Bitters Company Inc,Tonic & Tinctures Bitters Company ,1 W Main St,Cambridge,NY,12816,43.02793,-73.38101999999999
"Distiller ""B-1""",Kings,Country Honk Llc,Firma Legal,1027 Grand St,Brooklyn,NY,11211,40.713640000000005,-73.93423
"Distiller ""B-1""",Sullivan,Moses Messinger,Tzetzoeinee Motel Realty,157 Old White Lake Tpke,Swan Lake,NY,12783,0.0,0.0
"Distiller ""B-1""",Clinton,Four Maples Vineyard And Winery Inc,Four Maples Vineyard And Winery ,40 Gamlaw Rd,Champlain,NY,12919,44.99583,-73.41969
"Distiller ""B-1""",Suffolk,Golden Trade International Corp,Golden Trade International Corp,280 Suburban Ave,Deer Park,NY,11729,40.75292,-73.30303
"Distiller ""B-1""",Queens,"Wandering Barman Llc, The","Wandering Barman , The",1080 Wyckoff Ave,Ridgewood,NY,11385,40.69449,-73.90239
"Distiller ""B-1""",Putnam,Kas Spirits Llc,Kas Spirits ,46 Miller Rd,Mahopac,NY,10541,41.34766579,-73.75273205
"Distiller ""B-1""",Kings,Brooklyn Spirits Llc,Brooklyn Spirits ,1827 Pacific St,Brooklyn,NY,11233,40.67662,-73.92881
"Distiller ""C""",Seneca,Swedish Hill Vineyard Inc,"(Distiller ""C"")",4565 Route 414,Romulus,NY,14541,42.21985421,-76.97419268
"Distiller ""C""",Seneca,Knapp Farms Inc,Knapp Vineyards,2770 County Road 128,Romulus,NY,14541,42.76579757,-76.78321102
"Distiller ""C""",Dutchess,Milea Estate Vineyard I Llc,Milea Estate Vineyard,46 Rymph Rd,Staatsburg,NY,12580,41.83166,-73.85461
"Distiller ""C""",Orange,Shloimes Slivovitz Inc,Castle Spirits,18 Quickway Road,Monroe,NY,10950,41.33585167,-74.17073307
"Distiller ""C""",Yates,Rock Stream Vineyards Llc,Rock Stream Vineyards ,162 Fir Tree Point Road,Rock Stream,NY,14878,42.47140503,-76.91916722
"Distiller ""C""",Orange,Demarest Hill Winery Inc,Demarest Hill Winery ,81 Pine Island Tpke,Warwick,NY,10990,41.26686155,-74.37151209999999
Farm Brewer,Yates,Climbing Bines Craft Ale Company Llc,Climbing Bines Craft Ale Company ,511 Hansen Point Rd,Penn Yan,NY,14527,42.66011742,-76.93623052
Farm Brewer,Schuyler,301 Franklin Street Cafe Inc,Nickel'S Pit Bbq,205 207 N Franklin St,Watkins Glen,NY,14891,0.0,0.0
Farm Brewer,Steuben,Chautauqua Brewing Company Llc,The Brewery Of Broken Dreams,8319 Pleasant Valley Rd,Hammondsport,NY,14840,42.40467078,-77.24307859
Farm Brewer,Westchester,Ferrari Beer Incorporated,Ferrari Beer Company,160 Ashford Ave,Dobbs Ferry,NY,10522,41.01482291,-73.86249501
Farm Brewer,Nassau,Barrier Brewing Company Llc,Barrier Brewing Company ,3001 New St Unit A2,Oceanside,NY,11572,40.63907939,-73.65604898
Farm Brewer,Suffolk,Moustache Brewing Co Llc,Moustache Brewing Co ,400 Hallet Ave,Riverhead,NY,11901,40.92047274,-72.66814073
Farm Brewer,Suffolk,Great South Bay Brewery Corp,Great South Bay Brewery,25 Drexel Dr,Bay Shore,NY,11706,40.76048487,-73.26279254
Farm Brewer,Clinton,Oval Craft Brewing Llc,Oval Craft Brewing ,111 Ohio Rd,Plattsburgh,NY,12903,44.68319,-73.44735
Farm Brewer,Dutchess,Pbfb Ny Llc,Plan Bee Farm Brewery,115 Underhill Rd,Poughkeepsie,NY,12603,41.71889,-73.88665
Farm Brewer,Steuben,Finger Lakes Beer Company Llc,Finger Lakes Beer Company ,8462 State Route 54,Hammondsport,NY,14840,42.39991624,-77.22563237
Farm Brewer,Otsego,Butternuts Beer And Ale Llc,Butternuts Beer And Ale ,4020 State Hwy 51,Garrattsville,NY,13342,42.62775,-75.18634
Farm Brewer,Suffolk,"Greenport Brewing Company Llc, The",Greenport Harbor Brewing Company,234 Carpenter St,Greenport,NY,11944,41.10312349,-72.35858247
Farm Brewer,St Lawrence,Kevin David Archer & Dale James Freeman,Adirondack Toboggan Company Microbrewery,202A W Main St,Gouverneur,NY,13642,44.33083627,-75.47594246
Farm Brewer,Suffolk,Lloyd Harbor Brewing Company Llc,Lloyd Neck Brewing Company,2 Gerry Ln,Lloyd Harbor,NY,11743,40.923970000000004,-73.43781
Farm Brewer,Suffolk,Saint James Brewery Llc,Saint James Brewery ,929 Lincoln Ave Unit 11,Holbrook,NY,11741,40.77147,-73.08315
Farm Brewer,Delaware,Mac'S Brew Tavern Llc,Mac'S Brew Tavern ,304 Sutherland Rd,East Meredith,NY,13757,,
Farm Brewer,Onondaga,Wt Brews Llc,Wt Brews ,3482 Patchett Rd,Baldwinsville,NY,13027,43.15189,-76.26680999999999
Farm Brewer,Allegany,Wellsville Brewing Co Inc,Wellsville Brewing Company,104 N Main St,Wellsville,NY,14895,42.121629999999996,-77.94717
Farm Brewer,Cayuga,Lunkenheimer Craft Brewing Co Llc,Lunkenheimer Craft Brewing Co ,8920 N Seneca St,Weedsport,NY,13166,43.049279999999996,-76.56268
Farm Brewer,Queens,Big Alice Brewing Company Llc,Big Alice Brewing Company ,808 43Rd Rd,Long Island City,NY,11101,0.0,0.0
Farm Brewer,Ulster,Yard Owl Craft Brewery Inc,Yard Owl Craft Brewery ,19 Osprey Ln,Gardiner,NY,12525,41.69127,-74.14681999999999
Farm Brewer,Nassau,Lithology Brewing Llc,Lithology Brewing Co,211 Main St,Farmingdale,NY,11735,40.732690000000005,-73.44591
Farm Brewer,Dutchess,Dutchess Ales Llc,Dutchess Ales ,4280 Rte 22,Wassaic,NY,12592,41.806999999999995,-73.56241999999999
Farm Brewer,Orange,Pennings Farm Cidery Llc,Pennings Farm Cidery ,4 Warwick Tpk,Warwick,NY,10990,41.23625,-74.38253
Farm Brewer,Suffolk,Shelter Island Craft Brewery Llc,Shelter Island Craft Brewery ,55A N Ferry Rd,Shelter Island,NY,11964,41.0713,-72.33928
Farm Brewer,Orange,Kraftify Llc,Pine Island Brewing,682 County Route 1,Pine Island,NY,10969,41.29749,-74.46587
Farm Brewer,Ontario,Savangela Llc,Crafty Ales And Lagers,2 Exchange St,Phelps,NY,14532,42.95782,-77.05683
Farm Brewer,Orange,Heritage Restoration Properties Llc,Clemson Bros Brewery,14 Cottage St,Middletown,NY,10940,41.44709,-74.4161
Farm Brewer,Erie,Barrel + Brine Inc,Barrel + Brine ,155 Chandler St,Buffalo,NY,14207,42.94324,-78.88523
Farm Brewer,Queens,Rockaway Brewing Company Llc,Rockaway Brewing Company ,46-01 5Th St,Long Island City,NY,11101,40.74703,-73.95477
Farm Brewer,Tompkins,Garretts Brewing Company Inc,Garretts Brewing Company ,1 W Main St,Trumansburg,NY,14886,0.0,0.0
Farm Brewer,Suffolk,Destination Unknown Beer Company Inc,Destination Unknown Beer Company ,1 S Chicago Ave,Bay Shore,NY,11706,40.7337,-73.22926
Farm Brewer,Kings,Strong Rope Brewery Llc,Strong Rope Brewery,574A President St,Brooklyn,NY,11215,40.676840000000006,-73.98379
Farm Brewer,Schenectady,Van Schaick Beer Co Llc,Great Flats Brewing,151 Lafayette St,Schenectady,NY,12305,42.81252,-73.93791999999999
Farm Brewer,Erie,West Shore Brewing Company Llc,West Shore Brewing Company ,10995 Main St,Clarence,NY,14031,42.98168,-78.57755
Farm Brewer,Tompkins,Northeast Pizza And Beer Llc,Scale House Brewery,23C Cinema Dr,Ithaca,NY,14850,42.4801,-76.47836
Farm Brewer,Warren,Glens Falls Brewing Company Llc,Lake George Brew House,1043 State Rte 9,Queensbury,NY,12804,43.34342,-73.68623000000001
Farm Brewer,Columbia,Hudson River Brewing Llc,Hudson Brewing,99 S 3Rd St,Hudson,NY,12534,42.250370000000004,-73.79717
Farm Brewer,Suffolk,Squarehead Brewing Inc,Squarehead Brewing ,405 High St,Holbrook,NY,11741,40.77949,-73.07261
Farm Brewer,Ulster,Hudson Ale Works Llc,Hudson Ale Works ,17 Milton Ave,Highland,NY,12528,41.71758,-73.9639
Farm Brewer,Cortland,Homer Hops Operation Llc,Homer Hops Brewing,722 Rte 90,Cortland,NY,13045,42.64002,-76.22681999999999
Farm Brewer,Onondaga,Stout Beard Brewing Company Llc,Stout Beard Brewing Company ,1153 W Fayette St,Syracuse,NY,13204,43.04611,-76.17345
Farm Brewer,Dutchess,Kings Corner Brewing Company Inc,Black Snake Brewing Company,148 Creek Rd,Staatsburg,NY,12580,41.8628,-73.88001
Farm Brewer,Kings,Disruption Grain Llc,Interboro Spirits & Ales,942 Grand St,Brooklyn,NY,11211,40.712720000000004,-73.93697
Farm Brewer,Suffolk,Sosh Brands Inc,Harbor Head Brewing Company,81D Fort Salonga Rd,Northport,NY,11768,40.89031,-73.35341
Farm Brewer,Nassau,Oyster Bay Brewing Company Inc,Oyster Bay Brewing Company ,36 Audrey Ave,Oyster Bay,NY,11771,40.87319,-73.53153
Farm Brewer,Suffolk,"Brewers Collective Inc, The",The Brewers Collective Beer Company,1460 N Clinton Ave,Bay Shore,NY,11706,40.74467,-73.26645
Farm Brewer,Orange,Rushing Duck Brewing Company Llc,Rushing Duck Brewing Company ,1 Battiato Ln,Chester,NY,10918,41.36201,-74.27024
Farm Brewer,Oneida,Copper City Of Rome Brewing Company Llc,Copper City Brewing Company,1111 Oneida St,Rome,NY,13440,43.20489,-75.43151
Farm Brewer,Onondaga,Onco Fermentations Inc,Onco Fermentations ,397 Rte 281,Tully,NY,13159,42.79058,-76.12213
Farm Brewer,Onondaga,Griffin Hill Llc,Griffin Hill Farm Brewery,3949 Griffin Rd,Syracuse,NY,13215,42.95986,-76.1929
Farm Brewer,Jefferson,Wood Boat Brewery Llc,Wood Boat Brewery ,703 Brooks Dr,Clayton,NY,13624,44.229079999999996,-76.08091999999999
Farm Brewer,Chautauqua,Big Inlet Brewing Inc,Big Inlet Brewing,6169 Elm Flats Rd,Mayville,NY,14757,42.269859999999994,-79.47333
Farm Brewer,Saratoga,Shmaltz Brewing Company Llc,Shmaltz Brewing Company ,6 Fairchild Sq,Clifton Park,NY,12065,42.90149,-73.79286
Farm Brewer,Lewis,Rc Spot Llc,Skewed Brewing,5501 Trinity Ave,Lowville,NY,13367,43.79051,-75.48777
Farm Brewer,Albany,Fort Orange Brewing Corporation,Fort Orange Brewing Corporation,450 N Pearl St,Albany,NY,12204,42.66704,-73.74332
Farm Brewer,Columbia,Subversive Llc,Subversive Malting & Brewing,253 Mill Rd Ext,Germantown,NY,12526,42.11121,-73.83176999999999
Farm Brewer,Cayuga,Summerhill Brewing Llc,Summerhill Brewing ,14408 State Rte 90,Locke,NY,13092,0.0,0.0
Farm Brewer,Queens,Dscc Ventures Llc,Fifth Hammer Brewing Company,10-28 10-36 46Th Ave,Long Island City,NY,11101,0.0,0.0
Farm Brewer,Madison,Critz Farms Inc,Critz Farms Brewing And Cider Company,3232 Rippleton Rd,Cazenovia,NY,13035,42.881440000000005,-75.87284
Farm Brewer,Saratoga,Good Vs Evil Brewing Llc,Unified Beerworks,7 Stonebreak Rd,Malta,NY,12020,42.96594,-73.78994
Farm Brewer,Schenectady,Back Barn Brewing Company Llc,Back Barn Brewing Company,7082 Western Tpke,Delanson,NY,12053,42.76962,-74.17121
Farm Brewer,Suffolk,Rocky Point Artisan Brewers Ltd,Rocky Point Artisan Brewers ,156 Hallock Landing Rd,Rocky Point,NY,11778,40.9605,-72.93929
Farm Brewer,Queens,Bridge And Tunnel Brewery Llc,Bridge And Tunnel Brewery ,1535 Decatur St,Ridgewood,NY,11385,40.69373,-73.90274000000001
Farm Brewer,Suffolk,Garden Of Eve Farm Brewery Llc,Garden Of Eve Farm Brewery ,4558 Sound Ave,Riverhead,NY,11901,40.96767,-72.65021999999999
Farm Brewer,Tompkins,Liquid State Brewing Company Inc,Liquid State Brewing Company ,620 W Green St,Ithaca,NY,14850,42.43872,-76.50768000000001
Farm Brewer,Cayuga,Chaotic Ales Inc,Aurora Ale & Lager Co,1891 State Rte 90 N,King Ferry,NY,13081,0.0,0.0
Farm Brewer,Onondaga,Talking Cursive Brewing Company Llc,Talking Cursive Brewing Company ,301 Erie Blvd W,Syracuse,NY,13202,,
Farm Brewer,Dutchess,Obscure Oscillation Brewing Company Llc,Obscure Oscillation Brewing Company ,19 Lown Ct,Poughkeepsie,NY,12603,41.69332,-73.91563000000001
Farm Brewer,Ulster,Kingston Standard Llc,Kingston Standard,22 Jansen Ave,Kingston,NY,12401,41.9267,-73.99286
Farm Brewer,Livingston,Battle Street Brewery Llc,Battle Street Brewery ,4 Battle St,Dansville,NY,14437,42.56153,-77.69896999999999
Farm Brewer,Livingston,Rising Storm Brewing Company Llc,Rising Storm Brewing Company ,5750 S Lima Rd,Livonia,NY,14414,42.85495,-77.70636999999999
Farm Brewer,Kings,Kings County Brewers Collective Llc,Kings County Brewers Collective ,381 Troutman St,Brooklyn,NY,11237,40.70601,-73.92358
Farm Brewer,Kings,Grimm Ales Llc,Grimm,990 Metropolitan Ave,Brooklyn,NY,11211,40.7144,-73.93651
Farm Brewer,Kings,Island To Island Brewery Corp,House Of Juice,642 Rogers Ave,Brooklyn,NY,11226,40.65582,-73.95318
Farm Brewer,Onondaga,Brp Enterprises Llc,Hot House Brewery,6200 S Bay Rd,Cicero,NY,13039,43.16563,-76.09179
Farm Brewer,Queens,Iconyc Brewing Company Llc,Iconyc Brewing Company ,43-63 11Th St,Long Island City,NY,11101,40.75199,-73.92557
Farm Brewer,Onondaga,Red Hawk Brewing Ltd,Red Hawk Brewing ,4504 Bussey Rd,Syracuse,NY,13215,42.98761,-76.23225
Farm Brewer,Nassau,Barnshed Brewing Llc,Barnshed Brewing ,100E Lauman Ln,Hicksville,NY,11801,40.74412,-73.50105
Farm Brewer,Clinton,Valcour Brewing Company Llc,Valcour Brewing Company ,49 Ohio Ave,Plattsburgh,NY,12903,44.67848,-73.44225
Farm Brewer,Suffolk,Po'Boy Brewery Ltd,Po'Boy Brewery ,200 Wilson St,Port Jefferson Statio,NY,11776,40.93356,-73.05683
Farm Brewer,Albany,Helderberg Mountain Brewing Company Llc,Helderberg Mountain Brewing Company ,141 Warners Lake Rd,E Berne,NY,12059,42.629740000000005,-74.07866999999999
Farm Brewer,Onondaga,Hill Country Farm Brewery Llc,Heritage Hill Brewery,3149 Sweet Rd,Jamesville,NY,13078,42.922779999999996,-76.01829000000001
